"","Date_Time","Well1","Well2","Well3","Well4","Well5","Well6","Well7","Well8"
"367","2017-09-06",325.405208333333,325.075833333333,325.843333333333,325.167916666667,325.4321875,325.308055555556,324.8065625,325.220840277778
"368","2017-09-07",325.396284722222,325.067673611111,325.835486111111,325.156909722222,325.423125,325.297847222222,324.797048611111,325.2086875
"369","2017-09-08",325.377534722222,325.050416666667,325.820694444444,325.137604166667,325.407222222222,325.285,324.786805555556,325.188826388889
"370","2017-09-09",325.357118055556,325.033541666667,325.800520833333,325.121423611111,325.387569444444,325.267256944444,324.776805555556,325.167888888889
"371","2017-09-10",325.337361111111,325.018194444444,325.78125,325.105902777778,325.369340277778,325.249409722222,324.766805555556,325.149208333333
"372","2017-09-11",325.319166666667,325.004756944444,325.765,325.088472222222,325.354444444444,325.237222222222,324.757881944444,325.137506944444
"373","2017-09-12",325.307986111111,324.995173611111,325.754097222222,325.078715277778,325.344548611111,325.226666666667,324.751840277778,325.129
"374","2017-09-13",325.296493055556,324.981666666667,325.742083333333,325.068125,325.333715277778,325.212430555556,324.7475,325.118826388889
"375","2017-09-14",325.277569444444,324.963541666667,325.724166666667,325.056944444444,325.316215277778,325.197152777778,324.737951388889,325.102680555556
"376","2017-09-15",325.2590625,324.947673611111,325.7065625,325.040416666667,325.30125,325.178784722222,324.728194444444,325.088722222222
"377","2017-09-16",325.243958333333,324.932395833333,325.693263888889,325.027743055556,325.286527777778,325.166180555556,324.718715277778,325.077680555556
"378","2017-09-17",325.227604166667,324.921215277778,325.679861111111,325.016215277778,325.276527777778,325.150659722222,324.71,325.070319444444
"379","2017-09-18",325.220555555556,324.920590277778,325.678368055555,325.01,325.278055555556,325.140729166667,324.71,325.071256944444
"380","2017-09-19",325.206458333333,324.903993055556,325.661805555556,324.998090277778,325.261875,325.129618055556,324.701527777778,325.056118055556
"381","2017-09-20",325.185396226415,324.881547169811,325.638830188679,324.979358490566,325.237735849057,325.110754716981,324.684830188679,325.032509433962
"382","2017-09-21",325.1646875,324.8625,325.619652777778,324.959618055556,325.222986111111,325.091979166667,324.667083333333,325.017333333333
"383","2017-09-22",325.141631944444,324.841631944444,325.5953125,324.939270833333,325.204548611111,325.071289198606,324.647638888889,324.997402777778
"384","2017-09-23",325.117916666667,324.820694444444,325.574409722222,324.917326388889,325.185173611111,325.049340277778,324.627743055556,324.978027777778
"385","2017-09-24",325.093055555556,324.801111111111,325.554340277778,324.895347222222,325.165902777778,325.027326388889,324.608298611111,324.959104166667
"386","2017-09-25",325.069305555556,324.786215277778,325.533263888889,324.875173611111,325.154409722222,325.006145833333,324.591770833333,324.945041666667
"387","2017-09-26",325.061041666667,324.788125,325.536145833333,324.869548611111,325.157291666667,324.996597222222,324.5959375,324.9555625
"388","2017-09-27",325.045104166667,324.775069444444,325.521944444444,324.857430555556,325.146076388889,324.983298611111,324.584618055556,324.944034722222
"389","2017-09-28",325.024409722222,324.754583333333,325.500138888889,324.840416666667,325.126215277778,324.965486111111,324.568298611111,324.924
"390","2017-09-29",325.0028125,324.73375,325.477048611111,324.822222222222,325.105972222222,324.945694444444,324.553229166667,324.904381944444
"391","2017-09-30",324.980451388889,324.712152777778,325.455590277778,324.802361111111,325.084930555556,324.925069444444,324.5353125,324.883826388889
"392","2017-10-01",324.958784722222,324.692534722222,325.436041666667,324.783229166667,325.065,324.905347222222,324.516875,324.864277777778
"393","2017-10-02",324.938194444444,324.672881944444,325.415486111111,324.7653125,325.044375,324.886111111111,324.499652777778,324.845076388889
"394","2017-10-03",324.917465277778,324.653229166667,325.396736111111,324.746736111111,325.026215277778,324.866840277778,324.484930555556,324.827888888889
"395","2017-10-04",324.90375,324.650277777778,325.391527777778,324.737604166667,325.022743055556,324.851875,324.481875,324.833618055556
"396","2017-10-05",324.896180555556,324.648298611111,325.386666666667,324.732534722222,325.024027777778,324.843923611111,324.479201388889,324.836986111111
"397","2017-10-06",324.882083333333,324.634861111111,325.368958333333,324.718784722222,325.006631944444,324.830763888889,324.4671875,324.822298611111
"398","2017-10-07",324.936284722222,324.67625,325.424444444444,324.775902777778,325.057673611111,324.873194444444,324.538958333333,324.877298611111
"399","2017-10-08",324.896111111111,324.6384375,325.3775,324.738819444444,325.017708333333,324.842118055556,324.492951388889,324.835979166667
"400","2017-10-09",324.861180555556,324.605659722222,325.344375,324.703159722222,324.982361111111,324.811423611111,324.453194444444,324.796326388889
"401","2017-10-10",324.838854166667,324.586284722222,325.323645833333,324.684027777778,324.961388888889,324.791215277778,324.4346875,324.779
"402","2017-10-11",324.820555555556,324.574513888889,325.308715277778,324.666909722222,324.951805555556,324.772326388889,324.421631944444,324.771743055556
"403","2017-10-12",324.8015625,324.556388888889,325.289791666667,324.650104166667,324.934618055556,324.754270833333,324.405694444444,324.754173611111
"404","2017-10-13",324.783333333333,324.536354166667,325.2715625,324.633784722222,324.915798611111,324.7359375,324.389930555556,324.73525
